Reg N03,Make,Model,Fleet,Panel Name,id,Damage Type
12J22U3445,Ford,Transit,A,Right quarter panel,9NxyZ36T,Scratch minor
12J22U3445,Ford,Transit,A,Left C pillar,N4teWtuZ,Dent 2
12J22U3445,Ford,Transit,A,Right Tail Gate,dph-lKFf,Dent 2
12J22U3445,Ford,Transit,A,Left running board,bVb9bVhp,Dent 2
12J22U3445,Ford,Transit,A,Left Tail Gate,D35CmA9l,Dent 2
12J22U3445,Ford,Transit,A,Left Tail Gate,TnkrTT0o,Dent 2
12J22U3445,Ford,Transit,A,Right Tailgate Cladding,lWYoyPg8,Missing
12J22U3445,Ford,Transit,A,Left Sliding Door,6Ojz43sg,Scratch minor
12J22U3445,Ford,Transit,A,Right front door cladding,ihH1mD2i,Scratch minor
12J22U3445,Ford,Transit,A,Left Sliding Door,IEvbtdt1,Dent 2
12J22U3445,Ford,Transit,A,Left Tailgate Cladding,I7NfQ82R,Scratch minor
12J22U3445,Ford,Transit,A,Left Tailgate Cladding,_S5DcP8I,Scratch minor
12J22U3445,Ford,Transit,A,Front bumper,V7UMuXpL,Scratch minor
12J22U3445,Ford,Transit,A,Left Sliding Door,cPzDZFYR,Dent 2
12J22U3445,Ford,Transit,A,Left quarter panel,J3EDIs6L,Scratch minor
12J22U3445,Ford,Transit,A,Left roofside,iHAJW3Un,Dent 3
12J22U3445,Ford,Transit,A,Wheel cap,HWXXHIz4,Wheelcap Torn
12J22U3445,Ford,Transit,A,Left Sliding Door,RJixw70H,Dent 2
12J22U3445,Ford,Transit,A,Left Tailgate Cladding,Kf0QNaPS,Detached
12J22U3445,Ford,Transit,A,Left roofside,V3EX1avB,Tear
12J22U3445,Ford,Transit,A,Cabin Roof,bFQlSNdG,Dent 2
12J22U3445,Ford,Transit,A,Rear bumper,p0xklS0r,Bumper Dent
12J22U3445,Ford,Transit,A,Left ORVM Indicator,XfGJO4OY,Broken
12J22U3445,Ford,Transit,A,Left Sliding Door Cladding,_JyEherp,Dent 3
12J22U3445,Ford,Transit,A,Rear bumper,zJ2Fq8_-,Clips Broken Minor
12J22U3445,Ford,Transit,A,Right roofside,lBECxpBj,Dent 2
12J22U3445,Ford,Transit,A,Right roofside,bmBGic-x,Dent 2
15GD422R34R,Vauxhall,Movano,A,Rear Roofside,ELk201oW,Dent 2
15GD422R34R,Vauxhall,Movano,A,Left Sliding Door,DKnh8e0e,Dent 2
15GD422R34R,Vauxhall,Movano,A,Right Tail Gate,iylEbtQj,Dent 2
15GD422R34R,Vauxhall,Movano,A,Right front wheelarch,mVAG1vwP,Dent 3
15GD422R34R,Vauxhall,Movano,A,Left tail lamp,NqT4RtyX,Broken
15GD422R34R,Vauxhall,Movano,A,Left quarter panel,lRlYPcN0,Dent 3
15GD422R34R,Vauxhall,Movano,A,Right valence,Pk6v2RDH,Missing
15GD422R34R,Vauxhall,Movano,A,Front bumper,IdEh_5fP,Bumper Dent
15GD422R34R,Vauxhall,Movano,A,Front bumper,LAM2QsxS,Scratch major
15GD422R34R,Vauxhall,Movano,A,Left C pillar,Ssy2yLy8,Dent 3
15GD422R34R,Vauxhall,Movano,A,Right ORVM,WlNuLiNO,Tear
15GD422R34R,Vauxhall,Movano,A,Rear bumper,77TxNDON,Bumper Tear
15GD422R34R,Vauxhall,Movano,A,Left quarter panel,eFfGksGw,Scratch minor
15GD422R34R,Vauxhall,Movano,A,Left Sliding Door,4SPB9w25,Scratch minor
